"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Employed part time","OR","0.002","0.0002","0.002","0.003","0.017","0.0017","0.014","0.02","0.159","0.0131","0.135","0.186","581000","N/A","59000"
"3 - Unemployed","OR","0","0.0001","0","0.001","0.009","0.0019","0.006","0.013","0.032","0.0069","0.021","0.049","119000","N/A","26000"
"4 - Other","OR","0.005","0.0004","0.004","0.006","0.013","0.0012","0.011","0.015","0.356","0.0241","0.31","0.404","1303000","N/A","118000"
"99 - 12-14 year olds","OR","0.001","0.0001","0","0.001","0.011","0.0012","0.009","0.014","0.041","0.0042","0.033","0.05","150000","N/A","16000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - Employed full time","PA","0.017","0.0011","0.015","0.019","0.041","0.0026","0.036","0.047","0.433","0.016","0.402","0.464","4795000","N/A","318000"
"2 - Employed part time","PA","0.005","0.0004","0.004","0.005","0.038","0.003","0.033","0.044","0.119","0.0073","0.106","0.134","1321000","N/A","105000"
"3 - Unemployed","PA","0.002","0.0003","0.001","0.002","0.033","0.0056","0.024","0.046","0.04","0.0062","0.03","0.054","446000","N/A","77000"
"4 - Other","PA","0.014","0.0009","0.013","0.016","0.039","0.0025","0.035","0.045","0.364","0.0159","0.334","0.396","4039000","N/A","266000"
"99 - 12-14 year olds","PA","0.002","0.0002","0.001","0.002","0.037","0.0032","0.031","0.044","0.044","0.0035","0.037","0.051","483000","N/A","43000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - Employed full time","RI","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.427","0.0224","0.383","0.471","404000","N/A","36000"
"2 - Employed part time","RI","0","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.114","0.0137","0.09","0.144","108000","N/A","16000"
"3 - Unemployed","RI","0","0","0","0","0.004","0.001","0.002","0.006","0.052","0.014","0.03","0.087","49000","N/A","13000"
"4 - Other","RI","0.001","0.0001","0.001","0.002","0.003","0.0004","0.003","0.004","0.365","0.0259","0.316","0.417","346000","N/A","41000"
"99 - 12-14 year olds","RI","0","0","0","0","0.003","0.0006","0.002","0.004","0.043","0.0068","0.031","0.058","40000","N/A","7000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - Employed full time","SC","0.006","0.0007","0.005","0.008","0.015","0.0017","0.012","0.019","0.404","0.0221","0.361","0.448","1791000","N/A","200000"
"2 - Employed part time","SC","0.002","0.0003","0.001","0.002","0.013","0.0021","0.01","0.018","0.106","0.0148","0.08","0.138","469000","N/A","73000"
"3 - Unemployed","SC","0.001","0.0001","0","0.001","0.015","0.0029","0.01","0.022","0.046","0.0082","0.032","0.065","204000","N/A","40000"
"4 - Other","SC","0.006","0.0005","0.005","0.007","0.017","0.0015","0.015","0.02","0.401","0.0227","0.357","0.446","1777000","N/A","153000"
"99 - 12-14 year olds","SC","0.001","0.0002","0","0.001","0.015","0.0033","0.01","0.023","0.044","0.0088","0.029","0.065","195000","N/A","44000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - Employed full time","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.003","0.453","0.028","0.399","0.509","336000","N/A","30000"
"2 - Employed part time","SD","0","0","0","0","0.003","0.0004","0.002","0.004","0.13","0.015","0.104","0.163","97000","N/A","14000"
"3 - Unemployed","SD","0","0","0","0","0.001","0.0004","0.001","0.002","0.025","0.0066","0.015","0.042","18000","N/A","5000"
"4 - Other","SD","0.001","0.0001","0.001","0.001","0.002","0.0003","0.002","0.003","0.333","0.0272","0.282","0.388","247000","N/A","26000"
"99 - 12-14 year olds","SD","0","0","0","0","0.003","0.0008","0.002","0.005","0.058","0.0139","0.036","0.092","43000","N/A","10000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - Employed full time","TN","0.009","0.0008","0.008","0.011","0.022","0.0019","0.018","0.026","0.432","0.0208","0.391","0.473","2555000","N/A","228000"
