"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"99 - 12-14 year olds","NV","0","0","0","0","0.009","0.0009","0.008","0.011","0.044","0.0046","0.035","0.054","112000","N/A","11000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - Employed full time","NY","0.026","0.0009","0.024","0.028","0.057","0.002","0.054","0.062","0.433","0.0106","0.412","0.453","7169000","N/A","264000"
"2 - Employed part time","NY","0.008","0.0004","0.008","0.009","0.065","0.0033","0.058","0.072","0.138","0.0067","0.126","0.152","2294000","N/A","123000"
"3 - Unemployed","NY","0.003","0.0003","0.003","0.004","0.08","0.0065","0.068","0.094","0.054","0.0045","0.046","0.064","903000","N/A","76000"
"4 - Other","NY","0.02","0.0008","0.019","0.022","0.061","0.0024","0.056","0.066","0.332","0.0104","0.312","0.353","5506000","N/A","223000"
"99 - 12-14 year olds","NY","0.003","0.0001","0.002","0.003","0.057","0.0028","0.052","0.063","0.042","0.002","0.039","0.046","700000","N/A","35000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - Employed full time","OH","0.016","0.0006","0.015","0.017","0.035","0.0013","0.032","0.037","0.441","0.011","0.42","0.463","4335000","N/A","164000"
"2 - Employed part time","OH","0.004","0.0002","0.004","0.005","0.033","0.0018","0.03","0.037","0.12","0.006","0.108","0.132","1174000","N/A","64000"
"3 - Unemployed","OH","0.001","0.0001","0.001","0.002","0.032","0.0024","0.027","0.037","0.036","0.0028","0.031","0.042","358000","N/A","27000"
"4 - Other","OH","0.013","0.0005","0.012","0.014","0.039","0.0015","0.036","0.042","0.359","0.0101","0.339","0.379","3525000","N/A","139000"
"99 - 12-14 year olds","OH","0.002","0.0001","0.001","0.002","0.035","0.0018","0.032","0.039","0.044","0.0021","0.04","0.048","433000","N/A","22000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - Employed full time","OK","0.005","0.0003","0.005","0.006","0.011","0.0007","0.01","0.013","0.435","0.0149","0.406","0.465","1408000","N/A","82000"
"2 - Employed part time","OK","0.001","0.0001","0.001","0.002","0.01","0.0011","0.008","0.013","0.112","0.0112","0.091","0.136","361000","N/A","41000"
"3 - Unemployed","OK","0","0.0001","0","0.001","0.01","0.0014","0.008","0.013","0.036","0.005","0.027","0.047","117000","N/A","16000"
"4 - Other","OK","0.004","0.0003","0.004","0.005","0.013","0.0009","0.011","0.015","0.366","0.016","0.335","0.398","1184000","N/A","78000"
"99 - 12-14 year olds","OK","0.001","0.0001","0.001","0.001","0.013","0.0012","0.011","0.016","0.051","0.0039","0.044","0.059","164000","N/A","15000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - Employed full time","OR","0.006","0.0002","0.005","0.006","0.013","0.0005","0.012","0.014","0.445","0.0159","0.414","0.476","1598000","N/A","67000"
"2 - Employed part time","OR","0.002","0.0002","0.002","0.002","0.016","0.0013","0.014","0.019","0.157","0.0116","0.135","0.181","562000","N/A","46000"
"3 - Unemployed","OR","0","0.0001","0","0.001","0.012","0.0018","0.009","0.016","0.038","0.0056","0.028","0.051","136000","N/A","20000"
"4 - Other","OR","0.004","0.0003","0.004","0.005","0.013","0.0008","0.011","0.015","0.325","0.0167","0.294","0.359","1169000","N/A","77000"
"99 - 12-14 year olds","OR","0","0","0","0.001","0.01","0.0009","0.009","0.012","0.035","0.0031","0.029","0.042","126000","N/A","11000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - Employed full time","PA","0.018","0.0006","0.017","0.019","0.039","0.0014","0.037","0.042","0.449","0.0113","0.427","0.471","4880000","N/A","172000"
